Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
activation of GTPase activity (GO:0090630)	13/105	1.783538366686877E-7	2.7305972393976087E-4	0	0	7.122907538478823	110.6863961468391	TBC1D3B;TBC1D3E;TBC1D3F;TBC1D3C;TBC1D3G;TBC1D3H;SYDE2;BCR;ARHGAP22;TBC1D3K;TBC1D3;TBC1D3L;ARHGEF5
positive regulation of GTPase activity (GO:0043547)	15/214	2.8481591263446953E-5	0.02180265811216864	0	0	3.7984076225282255	39.7550936550207	TBC1D3B;TBC1D3E;TBC1D3F;TBC1D3C;TBC1D3G;TBC1D3H;BCR;SYDE2;ARHGAP22;TBC1D3K;TBC1D3L;TBC1D3;F2RL1;ARHGEF5;RAPGEF3
positive regulation of astrocyte differentiation (GO:0048711)	3/8	4.126236333230996E-4	0.2105755942058885	0	0	29.614609571788414	230.78590254951774	SERPINE2;BIN1;HES1
regulation of astrocyte differentiation (GO:0048710)	3/12	0.0015272099793060996	0.5845396195794096	0	0	16.449202350965574	106.66177255132742	SERPINE2;BIN1;HES1
negative regulation of myelination (GO:0031642)	2/5	0.0038336668693710265	0.7554173285673206	0	0	32.82579564489112	182.64054492806378	TMEM98;JAM2
regulation of platelet aggregation (GO:0090330)	3/18	0.005182330905406065	0.7554173285673206	0	0	9.866498740554157	51.922452998319756	SERPINE2;PRKCQ;PRKG1
positive regulation of glial cell differentiation (GO:0045687)	3/18	0.005182330905406065	0.7554173285673206	0	0	9.866498740554157	51.922452998319756	SERPINE2;BIN1;HES1
cellular carbohydrate catabolic process (GO:0044275)	2/6	0.005674590719354948	0.7554173285673206	0	0	24.618090452261306	127.31877763874884	ABHD10;ENOSF1
regulation of dendrite development (GO:0050773)	4/39	0.007461630043029478	0.7554173285673206	0	0	5.646464646464646	27.65627872496984	ALK;CAMK1D;NEDD4;ZDHHC15
negative regulation of nervous system process (GO:0031645)	2/7	0.007839727712564304	0.7554173285673206	0	0	19.693467336683415	95.48478421013068	TMEM98;JAM2
negative regulation of oligodendrocyte differentiation (GO:0048715)	2/7	0.007839727712564304	0.7554173285673206	0	0	19.693467336683415	95.48478421013068	TMEM98;HES1
