Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
sarcolemma (GO:0042383)	5/52	0.0037502787092909087	0.35844785228619097	0	0	5.266092108806895	29.415996191047793	SLC8A3;SSPN;PGM5;SGCZ;RYR3
apicolateral plasma membrane (GO:0016327)	2/5	0.0038336668693710265	0.35844785228619097	0	0	32.82579564489112	182.64054492806378	NEDD4;MPDZ
transport vesicle membrane (GO:0030658)	5/60	0.006923314174375555	0.43155325020274293	0	0	4.498273878020713	22.36928937265944	HLA-DRB4;RASSF9;HLA-DRB3;SLC18A2;HLA-DQB1
trans-Golgi network membrane (GO:0032588)	6/99	0.014548620816727064	0.47979419336703855	0	0	3.19420337317832	13.512307819834072	HLA-DRB4;HLA-DRB3;ATP9A;CALN1;HLA-DQB1;BAIAP3
Golgi cisterna membrane (GO:0032580)	3/26	0.014677765390049067	0.47979419336703855	0	0	6.432044682948199	27.152371641319412	GOLGA8B;ATP2C1;GOLGA8A
lumenal side of endoplasmic reticulum membrane (GO:0098553)	3/28	0.01796021044689449	0.47979419336703855	0	0	5.916876574307305	23.783456360992172	HLA-DRB4;HLA-DRB3;HLA-DQB1
integral component of lumenal side of endoplasmic reticulum membrane (GO:0071556)	3/28	0.01796021044689449	0.47979419336703855	0	0	5.916876574307305	23.783456360992172	HLA-DRB4;HLA-DRB3;HLA-DQB1
integral component of Golgi membrane (GO:0030173)	4/55	0.024142908901290113	0.5369064792224877	0	0	3.8718558130322838	14.41787949391593	TVP23A;CASD1;ATP2C1;ZDHHC15
MHC class II protein complex (GO:0042613)	2/13	0.02690355694310994	0.5369064792224877	0	0	8.948835084513476	32.354484367906686	HLA-DRB3;HLA-DQB1
integral component of organelle membrane (GO:0031301)	9/214	0.028727817156278954	0.5369064792224877	0	0	2.177718171043603	7.730658622677958	CAMLG;SLC22A17;SCD;TVP23A;ELOVL7;CASD1;ATP2C1;TMEM163;ZDHHC15
intrinsic component of Golgi membrane (GO:0031228)	4/60	0.03196459955504757	0.5369064792224877	0	0	3.525252525252525	12.137889516208224	TVP23A;CASD1;ATP2C1;ZDHHC15
clathrin-coated vesicle membrane (GO:0030665)	5/90	0.03445389171481204	0.5369064792224877	0	0	2.906180193596426	9.788402346459565	HLA-DRB4;RASSF9;HLA-DRB3;SLC18A2;HLA-DQB1
dense core granule (GO:0031045)	2/16	0.03979654755299271	0.5655277209649209	0	0	7.030150753768845	22.665031087337795	CRHBP;BAIAP3
platelet alpha granule membrane (GO:0031092)	2/17	0.044518367380394504	0.5655277209649209	0	0	6.561139028475712	20.41730295665695	CD109;SYTL4
exocytic vesicle membrane (GO:0099501)	3/41	0.04838739858523387	0.5655277209649209	0	0	3.8900967784701046	11.78121978651808	SYPL1;SV2A;SLC18A2
synaptic vesicle membrane (GO:0030672)	3/41	0.04838739858523387	0.5655277209649209	0	0	3.8900967784701046	11.78121978651808	SYPL1;SV2A;SLC18A2
trans-Golgi network (GO:0005802)	9/239	0.05175152474651035	0.5665885149780928	0	0	1.9385077282330703	5.740505617677771	HLA-DRB4;MME;RAB38;HLA-DRB3;ATP2C1;ATP9A;CALN1;HLA-DQB1;BAIAP3
supramolecular fiber (GO:0099512)	2/19	0.054537931923024974	0.5665885149780928	0	0	5.7886491279929055	16.83836307659426	ELN;FBN1
MHC protein complex (GO:0042611)	2/20	0.05981667591610086	0.5887220208584665	0	0	5.46677833612507	15.397021528768864	HLA-DRB3;HLA-DQB1
integral component of endoplasmic reticulum membrane (GO:0030176)	6/142	0.06600060015234382	0.6076321333996154	0	0	2.179456554195282	5.923962212047837	HLA-DRB4;CAMLG;SCD;ELOVL7;HLA-DRB3;HLA-DQB1
Golgi cis cisterna (GO:0000137)	2/25	0.08854653750604154	0.6076321333996154	0	0	4.27725584443959	10.36903917949918	GOLGA8B;GOLGA8A
Golgi cisterna (GO:0031985)	3/53	0.0895504863294166	0.6076321333996154	0	0	2.954659949622166	7.129454761158286	GOLGA8B;ATP2C1;GOLGA8A
ER to Golgi transport vesicle membrane (GO:0012507)	3/54	0.09348082369482044	0.6076321333996154	0	0	2.8965772707067714	6.864885113038044	HLA-DRB4;HLA-DRB3;HLA-DQB1
clathrin-sculpted monoamine transport vesicle (GO:0070081)	1/5	0.09608811917912091	0.6076321333996154	0	0	12.278195488721805	28.761545244236093	SLC18A2
clathrin-sculpted monoamine transport vesicle membrane (GO:0070083)	1/5	0.09608811917912091	0.6076321333996154	0	0	12.278195488721805	28.761545244236093	SLC18A2
PCAF complex (GO:0000125)	1/5	0.09608811917912091	0.6076321333996154	0	0	12.278195488721805	28.761545244236093	TAF9
early endosome lumen (GO:0031905)	1/5	0.09608811917912091	0.6076321333996154	0	0	12.278195488721805	28.761545244236093	RAB38
elastic fiber (GO:0071953)	1/5	0.09608811917912091	0.6076321333996154	0	0	12.278195488721805	28.761545244236093	ELN
sarcoglycan complex (GO:0016012)	1/5	0.09608811917912091	0.6076321333996154	0	0	12.278195488721805	28.761545244236093	SGCZ
coated vesicle membrane (GO:0030662)	3/55	0.0974810909197244	0.6076321333996154	0	0	2.84072854098043	6.613491193732352	HLA-DRB4;HLA-DRB3;HLA-DQB1
cis-Golgi network (GO:0005801)	3/57	0.1056849758048816	0.637519047597189	0	0	2.7352364959417854	6.146876562021285	GOLGA8B;ATP2C1;GOLGA8A
dystroglycan complex (GO:0016011)	1/6	0.11417084824131203	0.6665929401742227	0	0	9.822055137844611	21.314441936770365	SGCZ
ciliary membrane (GO:0060170)	2/31	0.1271208786872187	0.6665929401742227	0	0	3.3912666782186798	6.994883774725574	SMO;SHANK3
