Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GTPase activator activity (GO:0005096)	18/336	1.5923795191122414E-4	0.042198057256474394	0	0	2.857156969277882	24.986154616650552	TBC1D3B;ARHGEF17;TBC1D3E;TBC1D3F;TBC1D3C;TBC1D3G;TBC1D3H;PREX2;BCR;SYDE2;ARHGAP22;FGD5;TBC1D3K;TBC1D3L;TBC1D3;SERGEF;ARHGEF5;RAPGEF3
GTPase regulator activity (GO:0030695)	13/233	8.748602312322912E-4	0.11591898063827859	0	0	2.959126145172657	20.836528201551193	TBC1D3B;TBC1D3E;TBC1D3F;TBC1D3C;TBC1D3G;TBC1D3H;PREX2;BCR;SYDE2;ARHGAP22;TBC1D3K;TBC1D3L;TBC1D3
C2H2 zinc finger domain binding (GO:0070742)	3/12	0.0015272099793060996	0.13490354817203878	0	0	16.449202350965574	106.66177255132742	TAF9;HMGA2;GATA2
MHC class II receptor activity (GO:0032395)	2/10	0.016146080400003	0.628785639587417	0	0	12.306532663316583	50.77771316717889	HLA-DRB3;HLA-DQB1
guanyl-nucleotide exchange factor activity (GO:0005085)	7/149	0.030470385805620125	0.628785639587417	0	0	2.440705300505322	8.520502263241022	PREX2;BCR;FGD5;ARHGEF17;SERGEF;ARHGEF5;RAPGEF3
adrenergic receptor binding (GO:0031690)	2/17	0.044518367380394504	0.628785639587417	0	0	6.561139028475712	20.41730295665695	UCHL1;NEDD4
RNA polymerase binding (GO:0070063)	2/18	0.0494353800207392	0.628785639587417	0	0	6.150753768844221	18.495863485683365	BIN1;NEDD4
acetylcholine receptor activity (GO:0015464)	2/22	0.07086683340621434	0.628785639587417	0	0	4.919597989949748	13.021943422893383	CHRM3;CHRNA5
phosphatidylinositol phospholipase C activity (GO:0004435)	2/23	0.07662101030821208	0.628785639587417	0	0	4.685092127303182	12.035457988077813	CHRM3;PLCB4
endopeptidase inhibitor activity (GO:0004866)	5/115	0.0811618435621621	0.628785639587417	0	0	2.242807825086306	5.632385829396013	SPINK2;SERPINE2;BIN1;SPOCK3;SERPINB6
transforming growth factor beta binding (GO:0050431)	2/24	0.0825168904779529	0.628785639587417	0	0	4.471904979442668	11.156295114476334	CD109;LTBP3
ubiquitin protein ligase activity (GO:0061630)	9/263	0.08293716053077639	0.628785639587417	0	0	1.753166723724752	4.364810208528178	TRIM50;ZNRF1;TRIM73;TRIM74;FANCL;NEDD4;TRIM58;RNF150;DTX3
phospholipase C activity (GO:0004629)	2/25	0.08854653750604154	0.628785639587417	0	0	4.27725584443959	10.36903917949918	CHRM3;PLCB4
ubiquitin-like protein ligase activity (GO:0061659)	9/270	0.09378700258585217	0.628785639587417	0	0	1.7055295881471029	4.036526332794866	TRIM50;ZNRF1;TRIM73;TRIM74;FANCL;NEDD4;TRIM58;RNF150;DTX3
5'-deoxyribose-5-phosphate lyase activity (GO:0051575)	1/5	0.09608811917912091	0.628785639587417	0	0	12.278195488721805	28.761545244236093	HMGA2
alpha-2A adrenergic receptor binding (GO:0031694)	1/5	0.09608811917912091	0.628785639587417	0	0	12.278195488721805	28.761545244236093	UCHL1
beta-2 adrenergic receptor binding (GO:0031698)	1/5	0.09608811917912091	0.628785639587417	0	0	12.278195488721805	28.761545244236093	NEDD4
bis(5'-adenosyl)-hexaphosphatase activity (GO:0034431)	1/5	0.09608811917912091	0.628785639587417	0	0	12.278195488721805	28.761545244236093	NUDT11
bis(5'-adenosyl)-pentaphosphatase activity (GO:0034432)	1/5	0.09608811917912091	0.628785639587417	0	0	12.278195488721805	28.761545244236093	NUDT11
uridine transmembrane transporter activity (GO:0015213)	1/5	0.09608811917912091	0.628785639587417	0	0	12.278195488721805	28.761545244236093	SLC29A2
voltage-gated calcium channel activity involved in cardiac muscle cell action potential (GO:0086007)	1/5	0.09608811917912091	0.628785639587417	0	0	12.278195488721805	28.761545244236093	CACNB2
diphosphoinositol-polyphosphate diphosphatase activity (GO:0008486)	1/5	0.09608811917912091	0.628785639587417	0	0	12.278195488721805	28.761545244236093	NUDT11
DNA insertion or deletion binding (GO:0032135)	1/5	0.09608811917912091	0.628785639587417	0	0	12.278195488721805	28.761545244236093	PMS2
endopolyphosphatase activity (GO:0000298)	1/5	0.09608811917912091	0.628785639587417	0	0	12.278195488721805	28.761545244236093	NUDT11
polyol transmembrane transporter activity (GO:0015166)	1/5	0.09608811917912091	0.628785639587417	0	0	12.278195488721805	28.761545244236093	SLC5A3
hydro-lyase activity (GO:0016836)	3/55	0.0974810909197244	0.628785639587417	0	0	2.84072854098043	6.613491193732352	ENOSF1;ENO2;CA13
long-chain fatty acyl-CoA binding (GO:0036042)	1/6	0.11417084824131203	0.628785639587417	0	0	9.822055137844611	21.314441936770365	ACOT7
thiol oxidase activity (GO:0016972)	1/6	0.11417084824131203	0.628785639587417	0	0	9.822055137844611	21.314441936770365	ERO1B
thyroid hormone transmembrane transporter activity (GO:0015349)	1/6	0.11417084824131203	0.628785639587417	0	0	9.822055137844611	21.314441936770365	SLC16A2
