Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Hfe effect on hepcidin production WP3924	2/7	0.007839727712564304	0.8235452892378595	0	0	19.693467336683415	95.48478421013068	ID1;BMP6
Nicotine Activity on Dopaminergic Neurons WP1602	3/21	0.008080819300460874	0.8235452892378595	0	0	8.220822837951301	39.61007839584937	CHRNA5;GNAI1;SLC18A2
Thyroid hormones production and their peripheral downstream signaling effects WP4746	6/95	0.012051882281529652	0.8235452892378595	0	0	3.338447499001882	14.751045201424143	RPS6KA6;THRB;AKT3;PRKG2;PRKCQ;SLC16A2
Cell-type Dependent Selectivity of CCK2R Signaling WP3679	2/13	0.02690355694310994	0.9510321019896929	0	0	8.948835084513476	32.354484367906686	RYR3;GNAI1
MFAP5-mediated ovarian cancer cell motility and invasiveness WP3301	2/13	0.02690355694310994	0.9510321019896929	0	0	8.948835084513476	32.354484367906686	PRKCQ;RYR3
Cholesterol metabolism (includes both Bloch and Kandutsch-Russell pathways) WP4718	3/46	0.06412581144202133	0.9510321019896929	0	0	3.4368812606174215	9.440797734813408	SCD;HSD17B7;FDFT1
Urea cycle and metabolism of amino groups WP497	2/21	0.06526256283317833	0.9510321019896929	0	0	5.178788680243322	14.134658097004975	ARG2;GATM
Development of ureteric collection system WP5053	3/47	0.06752384166676974	0.9510321019896929	0	0	3.3585985802610487	9.05234522192748	SMO;FAT4;FREM1
PKC-gamma calcium signaling pathway in ataxia WP4760	2/22	0.07086683340621434	0.9510321019896929	0	0	4.919597989949748	13.021943422893383	PLCB4;RYR3
Kallmann's Syndrome WP5074	2/24	0.0825168904779529	0.9510321019896929	0	0	4.471904979442668	11.156295114476334	TMEM98;PRKCQ
Signal Transduction of S1P Receptor WP26	2/25	0.08854653750604154	0.9510321019896929	0	0	4.27725584443959	10.36903917949918	AKT3;GNAI1
Vitamin B6-dependent and responsive disorders WP4228	1/5	0.09608811917912091	0.9510321019896929	0	0	12.278195488721805	28.761545244236093	AASS
miR-517 relationship with ARCN1 and USP1 WP3596	1/5	0.09608811917912091	0.9510321019896929	0	0	12.278195488721805	28.761545244236093	ID1
Pre-implantation embryo WP3527	3/58	0.10988532958290806	0.9510321019896929	0	0	2.6853675291962444	5.930145223793708	GATA2;E2F5;PBX1
Corticotropin-releasing hormone signaling pathway WP2355	4/93	0.11615091688985257	0.9510321019896929	0	0	2.2143911020315517	4.767284935527008	CRHBP;PRKCQ;RAPGEF3;GNAI1
LDLRAD4 and what we know about it WP4904	1/7	0.13189272078313496	0.9510321019896929	0	0	8.184628237259815	16.58014494642258	NEDD4
MicroRNA for Targeting Cancer Growth and Vascularization in Glioblastoma WP3593	1/7	0.13189272078313496	0.9510321019896929	0	0	8.184628237259815	16.58014494642258	HES1
Monoamine GPCRs WP58	2/33	0.14072931854588736	0.9510321019896929	0	0	3.1721510779704976	6.220324849317559	CHRM3;HTR1F
Resistin as a regulator of inflammation WP4481	2/33	0.14072931854588736	0.9510321019896929	0	0	3.1721510779704976	6.220324849317559	PLCB4;AKT3
Mitochondrial CII Assembly WP4920	1/8	0.14926091968857153	0.9510321019896929	0	0	7.015037593984962	13.34301795597851	SDHA
The influence of laminopathies on Wnt signaling WP4844	2/35	0.15463071412938548	0.9510321019896929	0	0	2.979594944419065	5.562056049171412	HMGA2;HES1
7q11.23 copy number variation syndrome WP4932	4/104	0.15537480422125569	0.9510321019896929	0	0	1.9696969696969697	3.66740831204533	TRIM50;ELN;PRKG1;FBN1
Calcium Regulation in the Cardiac Cell WP536	5/150	0.18237516623644676	0.9510321019896929	0	0	1.6983849847228285	2.8901236587576724	SLC8A3;CHRM3;PRKCQ;RYR3;GNAI1
Steroid Biosynthesis WP496	1/10	0.18296431890020862	0.9510321019896929	0	0	5.455583402951824	9.266112684524701	HSD17B7
Ethanol metabolism resulting in production of ROS by CYP2E1 WP4269	1/10	0.18296431890020862	0.9510321019896929	0	0	5.455583402951824	9.266112684524701	PRKCQ
Liver X receptor pathway WP2874	1/10	0.18296431890020862	0.9510321019896929	0	0	5.455583402951824	9.266112684524701	SCD
Kisspeptin/kisspeptin receptor system in the ovary WP4871	2/39	0.18313788683923246	0.9510321019896929	0	0	2.6569333152247725	4.510186627192247	PLCB4;PRKCQ
Ferroptosis WP4313	2/40	0.19038207049243086	0.9510321019896929	0	0	2.5868817773075907	4.290918565573808	SLC40A1;CP
Gene regulatory network modelling somitogenesis  WP2854	1/11	0.19931318386921895	0.9510321019896929	0	0	4.909774436090226	7.918866697062786	HES1
PTF1A related regulatory pathway WP4147	1/11	0.19931318386921895	0.9510321019896929	0	0	4.909774436090226	7.918866697062786	HES1
Biomarkers for urea cycle disorders WP4583	1/12	0.2153357099246634	0.9510321019896929	0	0	4.463203463203463	6.853503441418336	GATM
Iron metabolism in placenta WP2007	1/12	0.2153357099246634	0.9510321019896929	0	0	4.463203463203463	6.853503441418336	SLC40A1
Notch Signaling WP268	2/45	0.2270815619658121	0.9510321019896929	0	0	2.2854972537104126	3.3881263125594305	HES1;DTX3
Transcriptional cascade regulating adipogenesis WP4211	1/13	0.23103839499135687	0.9510321019896929	0	0	4.091060985797828	5.994105430085078	GATA2
Alzheimer's disease WP2059	3/83	0.23114288354712345	0.9510321019896929	0	0	1.8438287153652393	2.7006913507500574	PLCB4;MME;RYR3
Pathways in clear cell renal cell carcinoma WP4018	3/85	0.24177950488129588	0.9510321019896929	0	0	1.798672974135283	2.553628371787511	SSPN;PLOD2;ENO2
Kennedy pathway from sphingolipids WP3933	1/14	0.24642760797141816	0.9510321019896929	0	0	3.776171197223829	5.289233936920179	PCYT1B
Omega-9 FA synthesis WP4724	1/14	0.24642760797141816	0.9510321019896929	0	0	3.776171197223829	5.289233936920179	SCD
Cholesterol Biosynthesis Pathway WP197	1/15	0.2615095912088046	0.9510321019896929	0	0	3.506265664160401	4.702899151787877	FDFT1
Synaptic signaling pathways associated with autism spectrum disorder WP4539	2/50	0.2642184505833435	0.9510321019896929	0	0	2.046901172529313	2.7243825855585304	AKT3;SHANK3
Angiopoietin Like Protein 8 Regulatory Pathway WP3915	4/132	0.2716389467805912	0.9510321019896929	0	0	1.5366161616161615	2.002643409897974	RPS6KA6;THRB;SCD;SLC16A2
Amino Acid metabolism WP3925	3/91	0.27411496366140553	0.9510321019896929	0	0	1.6755209525990382	2.1684720935415385	ARG2;HIBADH;SDHA
GPCRs, Other WP117	3/91	0.27411496366140553	0.9510321019896929	0	0	1.6755209525990382	2.1684720935415385	CHRM3;SMO;HTR1F
SREBF and miR33 in cholesterol and lipid homeostasis WP2011	1/16	0.27629046321778905	0.9510321019896929	0	0	3.27234753550543	4.209229024204495	SCD
TCA Cycle and Deficiency of Pyruvate Dehydrogenase complex (PDHc) WP2453	1/16	0.27629046321778905	0.9510321019896929	0	0	3.27234753550543	4.209229024204495	SDHA
Deregulation of Rab and Rab Effector Genes in Bladder Cancer WP2291	1/16	0.27629046321778905	0.9510321019896929	0	0	3.27234753550543	4.209229024204495	SYTL4
Hedgehog Signaling Pathway Netpath WP47	1/16	0.27629046321778905	0.9510321019896929	0	0	3.27234753550543	4.209229024204495	SMO
ID signaling pathway WP53	1/16	0.27629046321778905	0.9510321019896929	0	0	3.27234753550543	4.209229024204495	ID1
MAPK pathway in congenital thyroid cancer WP4928	1/16	0.27629046321778905	0.9510321019896929	0	0	3.27234753550543	4.209229024204495	ALK
G Protein Signaling Pathways WP35	3/93	0.28499835742922947	0.9510321019896929	0	0	1.6381192275398824	2.056284973155278	GNA12;PRKCQ;GNAI1
The Overlap Between Signal Transduction Pathways that Contribute to a Range of LMNA Laminopathies WP4879	2/55	0.3013709723823399	0.9510321019896929	0	0	1.8533232198729497	2.22290053155023	HMGA2;HES1
Hematopoietic Stem Cell Differentiation WP2849	2/55	0.3013709723823399	0.9510321019896929	0	0	1.8533232198729497	2.22290053155023	THRB;GATA2
TCA Cycle (aka Krebs or citric acid cycle) WP78	1/18	0.3049727415814978	0.9510321019896929	0	0	2.8870706177207723	3.428491280322633	SDHA
TGF-B Signaling in Thyroid Cells for Epithelial-Mesenchymal Transition WP3859	1/18	0.3049727415814978	0.9510321019896929	0	0	2.8870706177207723	3.428491280322633	ID1
MFAP5 effect on permeability and motility of endothelial cells via cytoskeleton rearrangement WP4560	1/18	0.3049727415814978	0.9510321019896929	0	0	2.8870706177207723	3.428491280322633	PRKCQ
Pathways Regulating Hippo Signaling WP4540	3/98	0.3123372412785118	0.9510321019896929	0	0	1.5515047063502585	1.805442233065276	PLCB4;PRKCQ;CDH7
