Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
neutrophil activation involved in immune response (GO:0002283)	46/485	1.5051537612568132E-18	3.62742056462892E-15	0	0	5.6716342998339835	232.75046740387333	CFD;GRN;ITGAM;CLEC12A;ITGB2;FPR1;HBB;PTPRJ;SLC2A3;FPR2;CFP;LILRA2;PLD1;SIRPB1;LGALS3;C3AR1;TOM1;ITGAX;CTSH;SIRPA;QSOX1;CD36;ARSB;CD33;CTSB;XRCC6;FCER1G;APAF1;PGAM1;SLC11A1;PRKCD;PLAUR;RAB27A;CYBB;ATP11A;LILRB2;TNFRSF1B;IGF2R;OSCAR;TYROBP;PADI2;MNDA;MAN2B1;CD68;VCL;TLR2
neutrophil degranulation (GO:0043312)	45/481	6.206334191738586E-18	7.478632701044996E-15	0	0	5.571650083990179	220.75413212946458	CFD;GRN;ITGAM;CLEC12A;ITGB2;FPR1;HBB;PTPRJ;SLC2A3;FPR2;CFP;PLD1;SIRPB1;LGALS3;C3AR1;TOM1;ITGAX;CTSH;SIRPA;QSOX1;CD36;ARSB;CD33;CTSB;XRCC6;FCER1G;APAF1;PGAM1;SLC11A1;PRKCD;PLAUR;RAB27A;CYBB;ATP11A;LILRB2;TNFRSF1B;IGF2R;OSCAR;TYROBP;PADI2;MNDA;MAN2B1;CD68;VCL;TLR2
neutrophil mediated immunity (GO:0002446)	45/488	1.0828470315455675E-17	8.69887115341606E-15	0	0	5.481607477824055	214.1354487974013	CFD;GRN;ITGAM;CLEC12A;ITGB2;FPR1;HBB;PTPRJ;SLC2A3;FPR2;CFP;PLD1;SIRPB1;LGALS3;C3AR1;TOM1;ITGAX;CTSH;SIRPA;QSOX1;CD36;ARSB;CD33;CTSB;XRCC6;FCER1G;APAF1;PGAM1;SLC11A1;PRKCD;PLAUR;RAB27A;CYBB;ATP11A;LILRB2;TNFRSF1B;IGF2R;OSCAR;TYROBP;PADI2;MNDA;MAN2B1;CD68;VCL;TLR2
cytokine-mediated signaling pathway (GO:0019221)	47/621	4.2591051655313846E-15	2.566110862232659E-12	0	0	4.413252262834243	146.0332698025539	CD86;CSF1R;ARF1;ITGAM;CCL3L1;FLT3;CCL4L1;ITGB2;FPR1;INPPL1;F13A1;PTPRJ;IL1RAP;IFI30;ADIPOR1;CXCL3;CBL;CSF2RA;TNFSF13B;LMNB1;CDC42;UGCG;SOCS1;GRAP2;CCL5;CCL4;ITGAX;IL21R;TIMP1;CD36;FCGR1A;IL13RA1;EIF5A;FCER1G;VCAM1;IL10RA;MX2;PRKCD;LILRB2;TNFRSF1B;IL17RA;VEGFA;FCER2;CD4;BOLA2;TNFSF9;LCP1
cellular response to cytokine stimulus (GO:0071345)	34/482	2.1652064772914597E-10	1.0436295220544836E-7	0	0	3.971311475409836	88.37492545567132	CD86;CSF1R;ITGAM;CCL3L1;FLT3;CCL4L1;ITGB2;FPR1;INPPL1;F13A1;PTPRJ;IL1RAP;CBL;CSF2RA;SOCS1;GRAP2;CCL5;CCL4;ITGAX;SIRPA;TIMP1;CD36;IL13RA1;PTPN18;VCAM1;IL10RA;TNFRSF1B;VEGFA;FCER2;CD4;MNDA;TLR4;PTPN2;TLR2
positive regulation of cellular process (GO:0048522)	37/625	4.3236994324048845E-9	1.7366859386826288E-6	0	0	3.295684113865932	63.47208937083302	CD86;CSF1R;GRN;LRP1;FLT3;DOT1L;COX17;HBB;PTPRJ;SMC6;FPR2;LILRA2;SIRPB1;CDC42;CCL5;ITGAX;PROK2;CTSH;SIRPA;S1PR3;TIMP1;CD36;IL13RA1;FCER1G;SPAG5;SLC11A1;PRKCD;TBC1D8;RAB27A;PRKCA;HBA1;TNFRSF1B;VEGFA;FCGR2B;TLR4;HBEGF;TLR2
receptor-mediated endocytosis (GO:0006898)	15/143	1.88147560818758E-7	6.239018895026836E-5	0	0	5.9269480519480515	91.78495036678767	ITGAM;FCER1G;LRP1;MX2;ITGB2;HBB;ADRB2;FPR2;HBA1;IGF2R;MRC1;STAB1;CD36;FCGR1A;FCGR2B
inflammatory response (GO:0006954)	19/230	2.0710436166064185E-7	6.239018895026836E-5	0	0	4.58249057730343	70.52472706898847	CD96;CSF1R;PXK;CCL3L1;CCL4L1;SLC11A1;ITGB2;FPR1;CYBB;FPR2;CXCL3;HDAC9;CCL5;CCL4;C3AR1;PROK2;FCGR2B;TLR4;TLR2
regulation of immune response (GO:0050776)	16/179	6.648996451375075E-7	1.7804534942015478E-4	0	0	4.968558282208589	70.67093323469186	CD96;VCAM1;ITGB2;CD1D;LILRB2;CD3D;TREM1;OSCAR;TYROBP;KLRK1;ITGB7;CD300C;FCGR1A;FCGR2B;HCST;CD33
positive regulation of phagocytosis (GO:0050766)	9/53	9.525550392836465E-7	2.2956576446735882E-4	0	0	10.230411532201813	141.83563213483254	FCER1G;SLC11A1;SIRPA;STAP1;RAB27A;PTPRJ;FPR2;FCGR2B;SIRPB1
regulation of lipopolysaccharide-mediated signaling pathway (GO:0031664)	6/21	2.593569661055159E-6	5.682275348311758E-4	0	0	19.883248730964468	255.74779734907017	CD180;LY86;PRKCA;CD36;LILRA2;TRIB1
regulation of T cell activation (GO:0050863)	8/47	3.7934308630139813E-6	7.618473649886413E-4	0	0	10.23600209314495	127.76823177262177	LGALS3;CD4;CCL5;SIRPA;TNFSF9;TNFRSF1B;SIRPB1;PAG1
cellular response to amyloid-beta (GO:1904646)	7/35	5.036054291622765E-6	8.650893271633922E-4	0	0	12.450381679389313	151.8808074451459	VCAM1;LRP1;ADRB2;FPR2;CD36;FCGR2B;TLR4
positive regulation of reactive oxygen species metabolic process (GO:2000379)	8/49	5.253767355673563E-6	8.650893271633922E-4	0	0	9.735689397710305	118.35254241567885	ITGAM;TYROBP;ITGB2;PRKCD;RAB27A;CD36;FPR2;TLR4
positive regulation of superoxide anion generation (GO:0032930)	5/14	5.384373405581279E-6	8.650893271633922E-4	0	0	27.554149085794656	334.287201596532	ITGAM;TYROBP;ITGB2;PRKCD;FPR2
positive regulation of cell death (GO:0010942)	9/66	6.326914344474274E-6	9.529914731364375E-4	0	0	7.891910082110647	94.47167149415138	ITGAM;TYROBP;LRP1;LRRK2;ITGB2;HBB;CD36;HBA1;FCGR2B
regulation of epidermal growth factor receptor signaling pathway (GO:0042058)	9/67	7.181141173255353E-6	0.0010180323663262	0	0	7.755445806508511	91.85590535242325	CDC42;DGKD;PDE6H;SH3KBP1;PLAUR;PTPRJ;CBL;PTPN2;HBEGF
regulation of superoxide anion generation (GO:0032928)	5/15	7.94416389338206E-6	0.0010636352768361535	0	0	24.79746835443038	291.19848110979194	ITGAM;TYROBP;ITGB2;PRKCD;FPR2
neutrophil chemotaxis (GO:0030593)	9/70	1.0360680509459416E-5	0.0013141705277787995	0	0	7.3728984109680935	84.62238722559603	LGALS3;FCER1G;CCL3L1;CCL4L1;CCL5;ITGB2;BSG;CCL4;CXCL3
neutrophil activation (GO:0042119)	5/16	1.1365808451675785E-5	0.001369579918426932	0	0	22.542002301495973	256.6384638224754	FCER1G;TYROBP;CCL5;PRKCD;LILRA2
negative regulation of ERBB signaling pathway (GO:1901185)	7/40	1.2810617787936043E-5	0.001457885358539262	0	0	10.561261469658417	118.97510519689473	CDC42;PTPN18;SH3KBP1;PTPRJ;CBL;PTPN2;HBEGF
positive regulation of protein kinase activity (GO:0045860)	13/154	1.3815734575696016E-5	0.001457885358539262	0	0	4.6358971539575204	51.87430964272877	CSF1R;XRCC6;SLC11A1;PRKCD;NEDD9;ADRB2;VEGFA;TPX2;CENPE;CD4;CCL5;UNC119;FCGR1A
positive regulation of transport (GO:0051050)	10/91	1.3913428732947314E-5	0.001457885358539262	0	0	6.178854067742956	69.09600005937801	FCER1G;LRP1;SPAG5;SLC11A1;SIRPA;RAB27A;FPR2;FCGR2B;ACTB;SIRPB1
granulocyte chemotaxis (GO:0071621)	9/73	1.4671462723168202E-5	0.001473259381784807	0	0	7.026214833759591	78.19900461418727	LGALS3;FCER1G;CCL3L1;CCL4L1;CCL5;ITGB2;BSG;CCL4;CXCL3
positive regulation of protein tyrosine kinase activity (GO:0061098)	7/42	1.7910792607424815E-5	0.001697315192012217	0	0	9.95674300254453	108.82826726401237	CSF1R;NCF1;NEDD9;STAP1;UNC119;FCGR1A;HBEGF
regulation of calcium ion transport (GO:0051924)	8/58	1.908854274532438E-5	0.001697315192012217	0	0	7.979591836734694	86.70961435373069	CD4;EPB41;CCL5;CCL4;HOMER3;LILRB2;LILRA2;CD33
regulation of phagocytosis (GO:0050764)	8/58	1.908854274532438E-5	0.001697315192012217	0	0	7.979591836734694	86.70961435373069	FCER1G;SLC11A1;SIRPA;RAB27A;FPR2;FCGR2B;SIRPB1;TLR2
