Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
secretory granule membrane (GO:0030667)	27/274	9.950923822255789E-12	1.4570169504753384E-9	0	0	5.6716089047117695	143.68088590258654	ITGAM;CLEC12A;ITGB2;FPR1;PTPRJ;SLC2A3;FPR2;PLD1;SIRPB1;LGALS3;C3AR1;TOM1;ITGAX;SIRPA;CD36;CD33;FCER1G;SLC11A1;PLAUR;CYBB;LILRB2;ATP11A;TNFRSF1B;IGF2R;TYROBP;CD68;TLR2
tertiary granule (GO:0070820)	21/164	1.5177259900784776E-11	1.4570169504753384E-9	0	0	7.539107330664059	187.80838293579185	ITGAM;FCER1G;CLEC12A;SLC11A1;ITGB2;FPR1;CYBB;HBB;SLC2A3;ATP11A;FPR2;LILRB2;CFP;PLD1;OSCAR;LGALS3;ITGAX;SIRPA;CTSH;QSOX1;CD33
specific granule (GO:0042581)	20/160	7.26973514734326E-11	4.652630494299687E-9	0	0	7.315789473684211	170.78502877108883	ITGAM;CLEC12A;ITGB2;PLAUR;CYBB;RAB27A;PTPRJ;SLC2A3;ATP11A;FPR2;CFP;PLD1;TNFRSF1B;OSCAR;C3AR1;TOM1;QSOX1;CD36;VCL;CD33
tertiary granule membrane (GO:0070821)	14/73	1.6545163953687127E-10	7.941678697769821E-9	0	0	12.012558180381136	270.5509457001903	ITGAM;FCER1G;CLEC12A;SLC11A1;ITGB2;CYBB;SLC2A3;ATP11A;FPR2;LILRB2;PLD1;ITGAX;SIRPA;CD33
specific granule membrane (GO:0035579)	15/91	3.470398889818806E-10	1.3326331736904216E-8	0	0	10.008885850991113	218.00936177407226	ITGAM;CLEC12A;ITGB2;PLAUR;CYBB;PTPRJ;SLC2A3;ATP11A;FPR2;TNFRSF1B;PLD1;C3AR1;TOM1;CD36;CD33
ficolin-1-rich granule (GO:0101002)	20/184	9.074790890293282E-10	2.9039330848938502E-8	0	0	6.2374839537869065	129.86660273260554	CFD;XRCC6;FCER1G;APAF1;SLC11A1;PGAM1;ITGB2;FPR1;HBB;SLC2A3;FPR2;LILRB2;LGALS3;ITGAX;SIRPA;CTSH;MNDA;VCL;ARSB;CTSB
ficolin-1-rich granule membrane (GO:0101003)	10/61	3.3252839300188065E-7	9.120778779480154E-6	0	0	9.828557063851182	146.6080703645024	LGALS3;FCER1G;SLC11A1;ITGB2;ITGAX;FPR1;SIRPA;SLC2A3;FPR2;LILRB2
integral component of plasma membrane (GO:0005887)	57/1454	7.751677948438175E-7	1.860402707625162E-5	0	0	2.1653459829580672	30.466821430844092	NCF1;NCF2;FLT3;GPR65;AQP9;PTPRO;SLC4A1;PTPRJ;SLC2A3;IL1RAP;SIRPB1;MRC1;BSG;STAB1;C3AR1;SIRPA;CD36;CD33;IL13RA1;CD96;FCER1G;SLC11A1;CYBB;ATP11A;IL17RA;FCER2;SLC7A7;TYROBP;CD300C;TLR4;HBEGF;TLR2;CSF1R;IGSF6;LRP1;SEMA3A;LPAR1;SGMS2;CD1D;ADRB2;LILRA2;CSF2RA;RASGRP3;HCAR3;KLRK1;HRH2;P2RY2;S1PR3;FCGR1A;JAG1;VCAM1;LILRB2;IGF2R;CD4;SLCO3A1;CD5;FCGR2B
lytic vacuole (GO:0000323)	16/219	9.228178953096957E-6	1.968678176660684E-4	0	0	3.9813218390804597	46.156454734608495	GRN;UNC93B1;SLC11A1;LRRK2;RAB27A;CD1D;ADRB2;IFI30;SGSH;STS;NAAA;CTSH;MAN2B1;CD68;ARSB;CTSB
secretory granule lumen (GO:0034774)	19/316	2.2328931322724486E-5	4.287154813963101E-4	0	0	3.2411339996641835	34.71133733307486	CFD;XRCC6;GRN;APAF1;PGAM1;PRKCD;RAB27A;F13A1;CFP;VEGFA;OSCAR;PADI2;CTSH;QSOX1;MAN2B1;MNDA;TIMP1;ARSB;VCL
endocytic vesicle (GO:0030139)	14/189	2.8538480067506842E-5	4.981261975419376E-4	0	0	4.025906735751295	42.12812356041742	LRP1;SH3KBP1;LPAR1;HBB;HBA1;PLD1;MPEG1;IGF2R;EHD4;STAB1;CD36;SRGAP2;RAB8A;HBEGF
lysosome (GO:0005764)	23/477	1.0108066206494493E-4	0.0016172905930391189	0	0	2.572815760875916	23.66885458513238	SLC36A1;GRN;LRP1;UNC93B1;LRRK2;SLC11A1;PRKCD;RAB27A;ATP11A;CD1D;ADRB2;IFI30;PLD1;SGSH;VCAN;STS;NAAA;ATP6V1B2;CTSH;MAN2B1;CD68;ARSB;CTSB
phagocytic vesicle (GO:0045335)	9/100	1.79021332744896E-4	0.0025300426706430157	0	0	4.934684241589612	42.57648318124446	NCF1;NCF2;UNC93B1;SLC11A1;CYBB;CD36;SRGAP2;MPEG1;RAB8A
ficolin-1-rich granule lumen (GO:1904813)	10/123	1.844822780677199E-4	0.0025300426706430157	0	0	4.421828908554573	38.018695493342335	CFD;XRCC6;APAF1;PGAM1;HBB;CTSH;MNDA;VCL;ARSB;CTSB
endocytic vesicle membrane (GO:0030666)	11/158	3.474579653133001E-4	0.004447461956010242	0	0	3.7420736932305054	29.805118759624673	CD4;LRP1;SLC11A1;STAB1;CYBB;ADRB2;CD36;FCGR1A;CD3D;IGF2R;HBEGF
azurophil granule (GO:0042582)	10/155	0.0011488885632724287	0.013786662759269146	0	0	3.440318302387268	23.287377907272507	GRN;PRKCD;C3AR1;TOM1;FPR1;PADI2;MAN2B1;MNDA;CD68;ARSB
NADPH oxidase complex (GO:0043020)	3/12	0.0015272099793060996	0.016144640977477608	0	0	16.449202350965574	106.66177255132742	NCF1;NCF2;CYBB
vacuolar lumen (GO:0005775)	10/161	0.0015291725846741271	0.016144640977477608	0	0	3.3025980641874684	21.410837321959512	VCAN;GRN;PRKCD;NAAA;PADI2;MAN2B1;MNDA;IFI30;ARSB;SGSH
membrane raft (GO:0045121)	10/163	0.0016765470193353656	0.016144640977477608	0	0	3.259091670856377	20.82891661624404	CD4;ITGAM;LRRK2;ITGB2;CD36;TNFRSF1B;CBL;PAG1;TLR2;ADD2
lysosomal lumen (GO:0043202)	7/86	0.0016817334351539174	0.016144640977477608	0	0	4.40129481109286	28.11516409074448	VCAN;NAAA;MAN2B1;IFI30;ARSB;SGSH;CTSB
clathrin-coated vesicle membrane (GO:0030665)	7/90	0.0021850051577737063	0.01997719001393103	0	0	4.188325822373463	25.65825816502885	CD4;DENND1A;ADRB2;FCGR1A;CD3D;IGF2R;HBEGF
clathrin-coated endocytic vesicle membrane (GO:0030669)	6/69	0.0025570662376604267	0.022316214437763722	0	0	4.722504230118443	28.18813036865812	CD4;ADRB2;FCGR1A;CD3D;IGF2R;HBEGF
secondary lysosome (GO:0005767)	3/16	0.003663338969162722	0.03058091661214098	0	0	11.385584189110638	63.86607120799337	NCF1;NCF2;LRRK2
phagolysosome (GO:0032010)	2/5	0.0038336668693710265	0.03066933495496821	0	0	32.82579564489112	182.64054492806378	NCF1;NCF2
cytoplasmic vesicle membrane (GO:0030659)	16/380	0.004348722035865148	0.033398185235444335	0	0	2.201923076923077	11.973778624767968	LRP1;FLT3;FPR1;SLC2A3;ADRB2;IGF2R;SIRPB1;LGALS3;TYROBP;MRC1;STAB1;ITGAX;CD36;TLR4;HBEGF;TLR2
tertiary granule lumen (GO:1904724)	5/55	0.004781469373014059	0.0353093122930269	0	0	4.949367088607595	26.444504878306542	HBB;CTSH;QSOX1;CFP;OSCAR
bounding membrane of organelle (GO:0098588)	26/767	0.006434637085609177	0.04575741927544303	0	0	1.769302936485599	8.928008486361056	ARF1;LRP1;FLT3;UNC93B1;FPR1;SLC2A3;ADRB2;SIRPB1;CDC42;LGALS3;UGCG;MRC1;BSG;STAB1;CHST15;ITGAX;QSOX1;CD36;RAB8A;IGF2R;TYROBP;MAN2B1;ST6GALNAC4;TLR4;HBEGF;TLR2
clathrin-coated endocytic vesicle (GO:0045334)	6/85	0.007153138313817348	0.04905009129474752	0	0	3.762963438925657	18.5898073849205	CD4;ADRB2;FCGR1A;CD3D;IGF2R;HBEGF
specific granule lumen (GO:0035580)	5/62	0.00794228499883975	0.052583404130249374	0	0	4.339995558516544	20.98628401959246	RAB27A;QSOX1;CFP;VCL;OSCAR
azurophil granule lumen (GO:0035578)	6/90	0.009375662566591102	0.05806861976727392	0	0	3.5380710659898478	16.521511223297935	GRN;PRKCD;PADI2;MAN2B1;MNDA;ARSB
platelet alpha granule (GO:0031091)	6/90	0.009375662566591102	0.05806861976727392	0	0	3.5380710659898478	16.521511223297935	CFD;F13A1;QSOX1;CD36;TIMP1;VEGFA
spectrin-associated cytoskeleton (GO:0014731)	2/8	0.010315438493629567	0.061892630961777405	0	0	16.41038525963149	75.06296677596661	EPB41;SPTB
platelet alpha granule lumen (GO:0031093)	5/67	0.010935682176117173	0.06362578720649992	0	0	3.9889750918742344	18.013111523717154	CFD;F13A1;QSOX1;TIMP1;VEGFA
focal adhesion (GO:0005925)	15/387	0.011618923923451398	0.0656127468618432	0	0	2.013824884792627	8.971831797439863	ARF1;LRP1;ITGB2;PLAUR;SYNE2;ACTB;IGF2R;TNFSF13B;CDC42;MARCKS;BSG;FLNA;ITGB7;LCP1;VCL
