Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
amyloid-beta binding (GO:0001540)	10/80	4.332048431447103E-6	0.0016505104523813464	0	0	7.153846153846154	88.3462088117926	ITGAM;LRP1;ITGB2;CD36;ADRB2;FPR2;LILRB2;FCGR2B;TLR4;TLR2
aryl sulfotransferase activity (GO:0004062)	4/9	1.8341206239197835E-5	0.0034939997885671875	0	0	39.58585858585859	431.73763740697177	SULT1A1;SULT1A4;SULT1A3;SULT1A2
protein kinase binding (GO:0019901)	25/506	3.417538680147803E-5	0.004194452264630735	0	0	2.64989604989605	27.25154384810006	ITGB2;PDE3B;PLEK;NEDD9;PTPRJ;ADIPOR1;LYST;HDAC9;ACTB;CKS1B;ADD2;CDC42;SOCS1;SIRPA;STAP1;MAP2K7;CDKN2C;PGAM1;PRKCD;USF1;KAT2B;TPX2;CD4;TRIB1;PTPN2
kinase binding (GO:0019900)	23/461	6.059861094098267E-5	0.004194452264630735	0	0	2.6690284994489057	25.919572553431195	CDKN2C;DGKD;PGAM1;PRKCD;ITGB2;PTPRJ;ADIPOR1;LYST;ACTB;USF1;CKS1B;ADD2;CDC42;SGO1;KAT2B;TPX2;CD4;SOCS1;SNAI1;FLNA;STAP1;MAP2K7;PTPN2
IgG binding (GO:0019864)	3/5	7.706342743416048E-5	0.004194452264630735	0	0	74.04785894206549	701.2985153094198	FCER1G;FCGRT;FCGR2B
complement component C3b binding (GO:0001851)	3/5	7.706342743416048E-5	0.004194452264630735	0	0	74.04785894206549	701.2985153094198	ITGAM;ITGB2;VSIG4
hemoglobin alpha binding (GO:0031721)	3/5	7.706342743416048E-5	0.004194452264630735	0	0	74.04785894206549	701.2985153094198	HBG1;HBB;HBD
cytokine receptor activity (GO:0004896)	8/88	3.803329207077405E-4	0.01811335534870614	0	0	4.979591836734694	39.21161456997869	CD4;FLT3;IL10RA;IL21R;IL1RAP;CSF2RA;IL13RA1;IL17RA
protein tyrosine kinase binding (GO:1990782)	7/72	5.85068723625917E-4	0.024767909300163822	0	0	5.353102368369544	39.84732299268796	CD4;PITPNM1;ITGAX;SIRPA;NEDD9;CBL;PTPN2
sulfotransferase activity (GO:0008146)	5/40	0.0011543527372104632	0.034072547193079464	0	0	7.075949367088608	47.863246334953025	SULT1A1;CHST15;SULT1A4;SULT1A3;SULT1A2
superoxide-generating NAD(P)H oxidase activity (GO:0016175)	3/11	0.0011625803504200342	0.034072547193079464	0	0	18.506297229219143	125.04914721997002	NCF1;NCF2;CYBB
Toll-like receptor binding (GO:0035325)	3/11	0.0011625803504200342	0.034072547193079464	0	0	18.506297229219143	125.04914721997002	UNC93B1;CD36;TLR2
complement receptor activity (GO:0004875)	3/11	0.0011625803504200342	0.034072547193079464	0	0	18.506297229219143	125.04914721997002	C3AR1;FPR1;FPR2
chemokine activity (GO:0008009)	5/46	0.002180615018071052	0.05934388013464791	0	0	6.038592158073479	37.005388410328614	CCL3L1;CCL4L1;CCL5;CCL4;CXCL3
protein kinase C activity (GO:0004697)	3/14	0.0024528495623385993	0.060859461551265044	0	0	13.457064346233112	80.88375043391294	SMG1;PRKCD;PRKCA
oxidoreductase activity, acting on NAD(P)H, oxygen as acceptor (GO:0050664)	3/15	0.003020907462477674	0.060859461551265044	0	0	12.335012594458439	71.5701855099893	NCF1;NCF2;CYBB
chemokine receptor binding (GO:0042379)	5/50	0.003158270517303148	0.060859461551265044	0	0	5.50070323488045	31.67156791929503	CCL3L1;CCL4L1;CCL5;CCL4;CXCL3
mannokinase activity (GO:0019158)	2/5	0.0038336668693710265	0.060859461551265044	0	0	32.82579564489112	182.64054492806378	HK2;HK1
CCR1 chemokine receptor binding (GO:0031726)	2/5	0.0038336668693710265	0.060859461551265044	0	0	32.82579564489112	182.64054492806378	CCL5;CCL4
CCR5 chemokine receptor binding (GO:0031730)	2/5	0.0038336668693710265	0.060859461551265044	0	0	32.82579564489112	182.64054492806378	CCL5;CCL4
fructokinase activity (GO:0008865)	2/5	0.0038336668693710265	0.060859461551265044	0	0	32.82579564489112	182.64054492806378	HK2;HK1
glucokinase activity (GO:0004340)	2/5	0.0038336668693710265	0.060859461551265044	0	0	32.82579564489112	182.64054492806378	HK2;HK1
glycerol channel activity (GO:0015254)	2/5	0.0038336668693710265	0.060859461551265044	0	0	32.82579564489112	182.64054492806378	AQP9;AQP3
hexokinase activity (GO:0004396)	2/5	0.0038336668693710265	0.060859461551265044	0	0	32.82579564489112	182.64054492806378	HK2;HK1
