Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Immune System Homo sapiens R-HSA-168256	82/1547	2.0406296446253168E-16	1.454968936617851E-13	0	0	3.192027818919441	115.32191007086593	CD86;IGHM;ARF1;ITGAM;NCF1;NCF2;FLT3;SH3KBP1;IGHV3-23;ITGB2;INPPL1;PTPRJ;IL1RAP;IFI30;TREM1;CD3D;ACTB;SIRPB1;TNFSF13B;LGALS3;IGHG1;IGHG2;GRAP2;MRC1;C3AR1;CTSH;ITGB7;CD36;CTSE;CD33;HAVCR2;MB21D1;CTSB;CD96;FCER1G;SLC11A1;PRKCD;CD180;CYBB;PRKCA;TNFRSF1B;SPTB;IL17RA;OSCAR;TYROBP;IGHD;ATP6V1B2;CD300C;HCST;TLR4;VCL;HBEGF;TLR2;CFD;CSF1R;UNC93B1;CD1D;LILRA2;PLD1;CBL;CSF2RA;FYB;RASGRP3;CDC42;KLRK1;SOCS1;IGKC;MAP2K7;FCGR1A;FCGR1B;POLR2K;PAG1;XRCC6;VCAM1;MX2;LY86;LILRB2;CENPE;CD4;KIF4A;FCGR2B;PTPN2
Adaptive Immune System Homo sapiens R-HSA-1280218	46/762	2.5310828237246674E-11	9.02331026657844E-9	0	0	3.427169144336079	83.62220336602114	CD86;IGHM;ARF1;NCF1;NCF2;SH3KBP1;IGHV3-23;ITGB2;PTPRJ;CD1D;IFI30;LILRA2;CBL;TREM1;CD3D;FYB;RASGRP3;CDC42;KLRK1;SOCS1;IGKC;GRAP2;MRC1;CTSH;ITGB7;CD36;FCGR1A;CTSE;FCGR1B;PAG1;CD33;CTSB;CD96;VCAM1;CYBB;LILRB2;OSCAR;CENPE;CD4;TYROBP;KIF4A;IGHD;CD300C;FCGR2B;HCST;HBEGF
Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell Homo sapiens R-HSA-198933	19/157	3.831740869255823E-10	9.106770799264673E-8	0	0	7.032941534482103	152.49197773023644	CD96;VCAM1;IGHV3-23;ITGB2;CD1D;LILRB2;LILRA2;TREM1;CD3D;OSCAR;TYROBP;KLRK1;IGKC;ITGB7;CD300C;FCGR1A;FCGR2B;HCST;CD33
Hemostasis Homo sapiens R-HSA-109582	32/552	8.169936167072731E-8	1.4562911217807142E-5	0	0	3.190635451505017	52.071871385891725	CFD;DGKD;ITGAM;ITGB2;PDE3B;PLEK;F13A1;HBB;HBD;TREM1;CSF2RA;PIK3R6;CDC42;POTEKP;BSG;ITGAX;FLNA;MFN2;SIRPA;QSOX1;TIMP1;CD36;FCER1G;HBG1;PRKCD;PLAUR;PRKCA;VEGFA;CENPE;SLC7A7;KIF4A;VCL
Innate Immune System Homo sapiens R-HSA-168249	40/807	1.3299304994597717E-7	1.8964808922296345E-5	0	0	2.728234101115457	43.196045855313166	CFD;CD86;ITGAM;UNC93B1;IGHV3-23;ITGB2;PLD1;TREM1;CSF2RA;ACTB;SIRPB1;RASGRP3;CDC42;LGALS3;IGHG1;KLRK1;IGHG2;SOCS1;IGKC;GRAP2;C3AR1;CD36;MAP2K7;FCGR1A;POLR2K;MB21D1;CTSB;XRCC6;FCER1G;PRKCD;CD180;LY86;PRKCA;SPTB;CD4;TYROBP;TLR4;VCL;HBEGF;TLR2
Signal regulatory protein (SIRP) family interactions Homo sapiens R-HSA-391160	5/13	3.519094233260874E-6	4.181856980525005E-4	0	0	31.0	389.2765145684563	TYROBP;SIRPA;FYB;SIRPB1;SKAP2
Cross-presentation of particulate exogenous antigens (phagosomes) Homo sapiens R-HSA-1236973	4/8	1.0353109093379076E-5	0.0010545381119398973	0	0	49.484848484848484	567.9981600692986	NCF1;NCF2;CYBB;CD36
Response to elevated platelet cytosolic Ca2+ Homo sapiens R-HSA-76005	11/110	1.293091125917048E-5	0.0011524674659735689	0	0	5.570122822050843	62.69668916611374	CFD;POTEKP;PLEK;F13A1;FLNA;PRKCA;QSOX1;TIMP1;CD36;VCL;VEGFA
Platelet activation, signaling and aggregation Homo sapiens R-HSA-76002	17/253	1.4658386528748483E-5	0.0011612699549997411	0	0	3.641943620834624	40.53664592192618	CFD;FCER1G;DGKD;PRKCD;PLEK;F13A1;PRKCA;CSF2RA;PIK3R6;VEGFA;CDC42;POTEKP;FLNA;QSOX1;TIMP1;CD36;VCL
Binding and Uptake of Ligands by Scavenger Receptors Homo sapiens R-HSA-2173782	9/74	1.641177794805719E-5	0.0011701597676964776	0	0	6.917765099350777	76.2165552450468	LRP1;IGKC;IGHV3-23;STAB1;HBB;CD36;HBA1;IGHA1;IGHA2
Scavenging of heme from plasma Homo sapiens R-HSA-2168880	7/46	3.317377245141637E-5	0.0021502636143508973	0	0	8.933711750505644	92.14007832760991	LRP1;IGKC;IGHV3-23;HBB;HBA1;IGHA1;IGHA2
Platelet degranulation Homo sapiens R-HSA-114608	10/105	4.874701862141137E-5	0.002896385356422192	0	0	5.2645074224021595	52.27059148465469	CFD;POTEKP;PLEK;F13A1;FLNA;QSOX1;TIMP1;CD36;VCL;VEGFA
Toll-Like Receptors Cascades Homo sapiens R-HSA-168898	11/140	1.2058689094479639E-4	0.006613727172587679	0	0	4.2681692273968235	38.512288389502096	SOCS1;ITGAM;UNC93B1;CD180;ITGB2;LY86;CD36;MAP2K7;TLR4;CTSB;TLR2
Role of phospholipids in phagocytosis Homo sapiens R-HSA-2029485	7/60	1.8828386566301482E-4	0.009589028301266398	0	0	6.5691583849440685	56.347348949426554	IGHG1;IGHG2;IGKC;IGHV3-23;PRKCD;PLD1;FCGR1A
Surfactant metabolism Homo sapiens R-HSA-5683826	5/29	2.4945206267315946E-4	0.011857288045730847	0	0	10.324894514767932	85.65784205018268	CECR1;P2RY2;CCDC59;CTSH;CSF2RA
Class A/1 (Rhodopsin-like receptors) Homo sapiens R-HSA-373076	17/323	2.959225470482523E-4	0.013187048502837743	0	0	2.798665506237308	22.740312536417424	CCL3L1;GPR65;LPAR1;FPR1;FPR2;ADRB2;CXCL3;HCAR2;HCAR3;GPR132;HRH2;P2RY2;CCL5;CCL4;C3AR1;PROK2;S1PR3
