Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
TYROBP causal network in microglia WP3945	15/61	7.704108821433659E-13	2.596284672823143E-10	0	0	16.561829474872955	461.94010333967094	ITGAM;IGSF6;FKBP15;NCF2;IL10RA;PLEK;ITGB2;RNASE6;TNFRSF1B;CD4;SLC7A7;TYROBP;ADAP2;ITGAX;IL13RA1
Microglia Pathogen Phagocytosis Pathway WP3937	10/40	4.543460835652368E-9	7.65573150807424E-7	0	0	16.726495726495727	321.3089045322122	ITGAM;FCER1G;TYROBP;NCF1;NCF2;ITGB2;CYBB;FCGR1A;TREM1;PIK3R6
Complement system WP2806	12/97	5.356959722074122E-7	6.01765142112993E-5	0	0	7.100667070952092	102.53149557891952	CFD;FCER2;ITGB2;C3AR1;FPR1;ITGAX;PLAUR;F13A1;PRKCA;VSIG4;CFP;TLR2
IL-18 signaling pathway WP4754	17/272	3.6982101559164696E-5	0.0031157420563596256	0	0	3.3672758920800696	34.36330808876874	GRN;NCF1;EPB41;NCF2;PRKCD;COX17;PRKCA;PLD1;CXCL3;VEGFA;HCAR2;CCL5;BSG;CCL4;CD36;TIMP1;MAP2K7
NOTCH1 regulation of endothelial cell calcification WP3413	4/17	3.051149092325908E-4	0.017137287401897183	0	0	15.21911421911422	123.19602213438428	JAG1;LPAR1;SOX6;VEGFA
Platelet-mediated interactions with vascular and circulating cells WP4462	4/17	3.051149092325908E-4	0.017137287401897183	0	0	15.21911421911422	123.19602213438428	VCAM1;CCL5;TLR4;TLR2
VEGFA-VEGFR2 Signaling Pathway WP3888	20/432	4.769937854921833E-4	0.022963843672980825	0	0	2.4512008175779254	18.746801245280086	JAG1;NCF1;NCF2;EPB41;PRKCD;PLAUR;CYBB;PRKCA;PTPRJ;HBD;ADRB2;CBL;HDAC9;NDRG1;VEGFA;CDC42;BSG;MAP2K7;VCL;HBEGF
Fibrin Complement Receptor 3 Signaling Pathway WP4136	5/41	0.0012933900589812736	0.05448405623458615	0	0	6.879043600562588	45.749000734473505	ITGAM;TYROBP;ITGB2;CXCL3;TLR4
T-Cell antigen Receptor (TCR) pathway during Staphylococcus aureus infection WP3863	6/62	0.0014736752913693764	0.05518095257683109	0	0	5.314720812182741	34.651957375074936	CD4;GRAP2;CBL;MAP2K7;CD3D;PDK1
Regulation of toll-like receptor signaling pathway WP1449	9/139	0.001954245732305025	0.06585808117867935	0	0	3.447373598268739	21.50385802264616	CD86;SOCS1;CCL5;CD180;CCL4;MAP2K7;TREM1;TLR4;TLR2
